sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,top,FH_A_HEALTHY_BREADTH,291,0.10144531465225855
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,top,FH_B_NET_BREADTH,291,0.14562736307710492
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,top,FH_C_CONTINUOUS,291,0.11322285474971877
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,spread,FH_A_HEALTHY_BREADTH,291,0.08172866786100125
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,spread,FH_B_NET_BREADTH,291,0.13645608328548173
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,5,spread,FH_C_CONTINUOUS,291,0.14213022707683018
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,20,top,FH_A_HEALTHY_BREADTH,291,0.11010953664672402
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,20,top,FH_B_NET_BREADTH,291,0.10225247408266645
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,20,top,FH_C_CONTINUOUS,291,0.017274980642710703
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,20,spread,FH_A_HEALTHY_BREADTH,291,0.08384094176323004
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,20,spread,FH_B_NET_BREADTH,291,0.10478488939951368
