sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_EX_K200,KOSDAQ,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,14,-0.02156363476022186,-0.005711683951325096,-0.015851950808896762,-0.6871093852065328,0.5714285714285714,0.5
TRAIN,KOSPI_EX_K200,KOSDAQ,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.0029846457726817135,-0.011415268500364858,0.008430622727683145,0.5745738193525699,0.5294117647058824,0.4
OOS,KOSPI_EX_K200,KOSDAQ,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,-0.0015816663366641631,-0.018420226352800436,0.016838560016136272,0.9816360751072014,0.5714285714285714,0.23076923076923078
TRAIN,KOSPI_EX_K200,KOSDAQ,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.024075749793904196,-0.012231060340326994,-0.011844689453577202,-0.45391213343270154,0.29411764705882354,0.5
OOS,KOSPI_EX_K200,KOSDAQ,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,-0.010022406795963282,-0.020929685502511376,0.010907278706548094,0.2930453466585883,0.5714285714285714,0.5384615384615384
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0010469883794861495,0.0022379002536607787,-0.0011909118741746292,-0.35470263750852127,0.6470588235294118,0.5
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,14,-0.02183288981993749,-0.005186965811237904,-0.016645924008699586,-0.7852724328082492,0.7142857142857143,0.5
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0008351588770048082,-0.0018538410572639745,0.0026889999342687826,0.24669358473164837,0.4117647058823529,0.6
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,0.0021290561692452773,-0.0148116570097915,0.016940713179036778,1.0363063684892613,0.5714285714285714,0.38461538461538464
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.008111481500595224,-0.011715312445852694,0.00360383094525747,0.2176380569514959,0.29411764705882354,0.5
