factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
MOM1M,OPFY1_REV,TRAIL20,STRESS_2026,-0.01928363722356452,0.5384615384615384,0.48,0.03853140353552868
MOM1M,OPFY1_REV,DISLOCATION,VAL_2020_2022,-0.019954269712459283,0.5068493150684932,0.496551724137931,0.04208416849875191
MOM1M,OPFY1_REV,DISLOCATION,CONF_2023_2024,0.0112447011257788,0.19148936170212766,0.8172043010752689,0.028163032944612795
MOM1M,OPFY1_REV,DISLOCATION,STRESS_2025,0.025403891962230696,0.43478260869565216,0.5777777777777777,0.11889149959895737
MOM1M,OPFY1_REV,DISLOCATION,STRESS_2026,-0.013092375518418686,0.5384615384615384,0.48,0.05872842826356592
MOM1M,PBR12MF,TRAIL20,VAL_2020_2022,0.0034132469514213115,0.15753424657534246,0.8482758620689655,0.004344725387550529
MOM1M,PBR12MF,TRAIL20,CONF_2023_2024,-0.007342971766941764,0.7127659574468085,0.2903225806451613,0.007637410937490879
MOM1M,PBR12MF,TRAIL20,STRESS_2025,-0.0036068732980021334,0.3695652173913043,0.6444444444444445,0.001964019235164827
MOM1M,PBR12MF,TRAIL20,STRESS_2026,-0.0005669310188611831,0.4230769230769231,0.6,0.0072209281266856044
MOM1M,PBR12MF,DISLOCATION,VAL_2020_2022,0.006476122724747957,0.3698630136986301,0.6344827586206897,0.03270650117483561
MOM1M,PBR12MF,DISLOCATION,CONF_2023_2024,-0.029555108804477648,0.7340425531914894,0.26881720430107525,0.050892405887300055
MOM1M,PBR12MF,DISLOCATION,STRESS_2025,-0.01719321116429362,0.5434782608695652,0.4666666666666667,0.03879615009180587
MOM1M,PBR12MF,DISLOCATION,STRESS_2026,-0.028043232529455064,0.7692307692307693,0.24,0.05684175578531961
MOM1M,PER12MF,TRAIL20,VAL_2020_2022,-0.009505917484066151,0.547945205479452,0.45517241379310347,0.010368829584221582
MOM1M,PER12MF,TRAIL20,CONF_2023_2024,-0.016466159643196754,0.5638297872340425,0.44086021505376344,0.03439534683838201
MOM1M,PER12MF,TRAIL20,STRESS_2025,-0.006435556232850859,0.3695652173913043,0.6444444444444445,0.01680214320787546
MOM1M,PER12MF,TRAIL20,STRESS_2026,-0.016718981266145683,0.5,0.52,0.01945160346955408
MOM1M,PER12MF,DISLOCATION,VAL_2020_2022,-0.02707926567432506,0.6575342465753424,0.3448275862068966,0.03561841530693946
MOM1M,PER12MF,DISLOCATION,CONF_2023_2024,-0.04750953827646809,0.6382978723404256,0.3655913978494624,0.08302526569885463
