sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM1M,HIGH,ACT5_W10,10,60,-0.06016906416322754,-0.22090305539668567,-0.07619548847327873,0.0846145756651594
FULL,MOM1M,HIGH,RAW_TA_W10,10,60,0.03002204100607231,0.10889733028172197,0.04278696399619886,-0.006563706563706528
FULL,MOM1M,HIGH,TURNOVER_W10,10,60,0.0033008658665634183,0.017068218270531732,0.021935197869567324,-0.011196911196911019
FULL,MOM1M,HIGH,ACT1_W10,20,0,-0.001653194291867166,-0.006856092578258033,-0.00029242704606491365,0.025193425777083278
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,20,0,-0.005586428175664793,-0.022457847831077404,-0.026572847942354483,0.10904556585490421
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,20,0,-0.004929292872209334,-0.0201618738249289,0.006671751042620189,0.06040743355918443
FULL,MOM1M,HIGH,ACT5_W10,20,0,-0.0012306734963081212,-0.0052387549459097515,-0.012346372669758354,0.030640896594203992
FULL,MOM1M,HIGH,RAW_TA_W10,20,0,0.0008469599750735579,-0.000485542503370906,-0.062228791233848835,-0.013127413127413057
FULL,MOM1M,HIGH,TURNOVER_W10,20,0,0.005470955695389357,0.019676079026591853,-0.040082885978199534,-0.012741312741312849
FULL,MOM1M,HIGH,ACT1_W10,20,30,-0.003481030318310818,-0.015961000781195542,0.04860642503012036,0.025193425777083278
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,20,30,-0.013486842368651941,-0.06467910197205284,0.00012787697958094313,0.10904556585490421
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,20,30,-0.009223808910680864,-0.042840034145039695,0.021851112994364152,0.06040743355918443
FULL,MOM1M,HIGH,ACT5_W10,20,30,-0.003478783863330226,-0.015865552789541534,0.045818344136013156,0.030640896594203992
FULL,MOM1M,HIGH,RAW_TA_W10,20,30,0.0018281364724795912,0.0119568764509137,0.005602661109026963,-0.013127413127413057
FULL,MOM1M,HIGH,TURNOVER_W10,20,30,0.0061938702934285494,0.029463680196569836,0.04459585103518626,-0.012741312741312849
FULL,MOM1M,HIGH,ACT1_W10,20,60,-0.00514317978436718,-0.025074614595364253,0.029431333196201725,0.025193425777083278
FULL,MOM1M,HIGH,ACT5_KEEP_TOP50,20,60,-0.020626132289406685,-0.10704519259061009,-0.01878559848653716,0.10904556585490421
FULL,MOM1M,HIGH,ACT5_KEEP_TOP70,20,60,-0.013115214070414383,-0.06571247863591888,0.013042433186121416,0.06040743355918443
FULL,MOM1M,HIGH,ACT5_W10,20,60,-0.005523467883616684,-0.026556554831405177,0.02844360606194063,0.030640896594203992
FULL,MOM1M,HIGH,RAW_TA_W10,20,60,0.0027230813973753154,0.02420679654084465,0.00887566888836322,-0.013127413127413057
FULL,MOM1M,HIGH,TURNOVER_W10,20,60,0.0068435499554933,0.03927894024121419,0.03616661941199395,-0.012741312741312849
FULL,MOM1M,LOW,ACT1_W10,10,0,0.04517874316206427,0.145732021960032,0.0031135658994512205,0.04431741357811403
FULL,MOM1M,LOW,ACT5_KEEP_TOP50,10,0,0.014944812206544977,0.06629266285753344,0.015213222601136889,0.10307227739134361
FULL,MOM1M,LOW,ACT5_KEEP_TOP70,10,0,0.06057378958094417,0.2111630777694501,0.010604376620016454,0.0738893980139117
FULL,MOM1M,LOW,ACT5_W10,10,0,0.04885745654876206,0.16215191315152166,0.019006597763030708,0.03614620735243301
FULL,MOM1M,LOW,RAW_TA_W10,10,0,0.00981286472127696,0.02770166955979597,-0.016216944860983684,-0.015444015444015524
FULL,MOM1M,LOW,TURNOVER_W10,10,0,0.04640667232835827,0.13461656676907963,-0.01133136343884611,-0.01776061776061777
FULL,MOM1M,LOW,ACT1_W10,10,30,0.039262053337738134,0.13138365075390496,-0.008685601118577524,0.04431741357811403
FULL,MOM1M,LOW,ACT5_KEEP_TOP50,10,30,0.006155565908947613,0.016498047902528623,0.013994019099061061,0.10307227739134361
FULL,MOM1M,LOW,ACT5_KEEP_TOP70,10,30,0.05133935359403674,0.17579463567308695,-0.014252395591190625,0.0738893980139117
FULL,MOM1M,LOW,ACT5_W10,10,30,0.04340205185754287,0.14527314153497828,0.005352009814615477,0.03614620735243301
FULL,MOM1M,LOW,RAW_TA_W10,10,30,0.010486119001461125,0.036111965713299665,-0.02460119226925417,-0.015444015444015524
FULL,MOM1M,LOW,TURNOVER_W10,10,30,0.04535888800893462,0.1462612934001996,0.02456662639623619,-0.01776061776061777
FULL,MOM1M,LOW,ACT1_W10,10,60,0.03384971810371895,0.11697267476359029,-0.022915894217732546,0.04431741357811403
FULL,MOM1M,LOW,ACT5_KEEP_TOP50,10,60,-0.0016916522663618094,-0.03341349277701248,0.0036655246565328037,0.10307227739134361
FULL,MOM1M,LOW,ACT5_KEEP_TOP70,10,60,0.04293490361473906,0.14082682692992457,-0.028703892873310544,0.0738893980139117
FULL,MOM1M,LOW,ACT5_W10,10,60,0.03838815499721582,0.128343521102016,0.006848228717873939,0.03614620735243301
FULL,MOM1M,LOW,RAW_TA_W10,10,60,0.01106073919131434,0.04456336183717924,-0.023717359055297926,-0.015444015444015524
