sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,1,20,0.00038267655797292186,-0.007881326025394486,0.45,0.021410393387125245
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.004445299748008172,-0.0011544802827698,0.4444444444444444,0.410655766658602
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.006229942035789033,0.01736667066032499,0.6666666666666666,0.4935995680901114
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,POS_ALT_MINUS_MOM_BY_N,3,17,-0.0018131095740926498,0.001023883655007496,0.5882352941176471,-0.5807398718239061
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,20,top,POS_ALT_MINUS_MOM_BY_N,3,17,0.005909852377936231,0.016173425598582224,0.6470588235294118,1.0100916509114628
POST_2023_PLUS,K200,5,top,POS_ALT,>=1,24,0.00658798982659205,0.0032156975083019253,0.5416666666666666,1.351265700178477
POST_2023_PLUS,K200,5,top,MOM,>=1,24,-0.0015628966769252871,-0.0006096972661827501,0.5,-0.24631192574747893
POST_2023_PLUS,K200,5,top,POS_ALT_MINUS_MOM,>=1,24,0.008150886503517337,0.009358285271354457,0.75,2.8889661211372784
POST_2023_PLUS,K200,5,spread,POS_ALT,>=1,24,0.004247482784702881,0.0061247349513881,0.7083333333333334,1.2829277914268817
POST_2023_PLUS,K200,5,spread,MOM,>=1,24,-0.006342776860169353,-0.00318303651030635,0.4166666666666667,-1.775322483131167
POST_2023_PLUS,K200,5,spread,POS_ALT_MINUS_MOM,>=1,24,0.010590259644872235,0.008623341404094449,0.7916666666666666,2.8806462698402733
POST_2023_PLUS,K200,20,top,POS_ALT,>=1,24,-0.00010713654614524896,0.0012300943237555095,0.5,-0.019697754989687254
POST_2023_PLUS,K200,20,top,MOM,>=1,24,-0.017422300334289747,-0.009581744888370158,0.4166666666666667,-2.1367626628350185
POST_2023_PLUS,K200,20,top,POS_ALT_MINUS_MOM,>=1,24,0.0173151637881445,0.018969327938454312,0.7916666666666666,3.0903907669097084
POST_2023_PLUS,K200,20,spread,POS_ALT,>=1,24,0.01229050510702187,0.013602832389974284,0.7083333333333334,1.6143370389504523
POST_2023_PLUS,K200,20,spread,MOM,>=1,24,-0.004717169434457907,-0.009881633586117378,0.375,-0.54697247686849
POST_2023_PLUS,K200,20,spread,POS_ALT_MINUS_MOM,>=1,24,0.017007674541479778,0.01684809459701475,0.7083333333333334,1.7447783707056892
POST_2023_PLUS,K200,5,top,POS_ALT_MINUS_MOM_BY_N,1,10,0.00532125018468732,0.0060049557456745,0.7,1.4406349285728868
POST_2023_PLUS,K200,20,top,POS_ALT_MINUS_MOM_BY_N,1,10,0.01646511740392278,0.02275377606641893,0.8,3.582099059154539
POST_2023_PLUS,K200,5,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.013173956637090164,0.016620507859193903,0.8888888888888888,2.850231580883026
POST_2023_PLUS,K200,20,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.018295258057697564,0.02302960855480607,0.6666666666666666,1.5900159871107153
POST_2023_PLUS,KOSDAQ,5,top,POS_ALT,>=1,22,0.003566390594400413,-2.352194546276741e-05,0.5,0.7525719965892955
POST_2023_PLUS,KOSDAQ,5,top,MOM,>=1,22,-0.002640184080664164,0.0004147638375352502,0.5,-0.42666598442781306
POST_2023_PLUS,KOSDAQ,5,top,POS_ALT_MINUS_MOM,>=1,22,0.006206574675064577,0.011714552331010415,0.5454545454545454,1.3390409108104857
POST_2023_PLUS,KOSDAQ,5,spread,POS_ALT,>=1,22,-0.0022417702678315526,-0.002221120079339392,0.45454545454545453,-0.44770888503494716
POST_2023_PLUS,KOSDAQ,5,spread,MOM,>=1,22,-0.005637654242698042,-0.0067574819453894,0.36363636363636365,-0.8399282700074787
POST_2023_PLUS,KOSDAQ,5,spread,POS_ALT_MINUS_MOM,>=1,22,0.003395883974866488,0.008613684310688225,0.5909090909090909,0.3910363442605908
POST_2023_PLUS,KOSDAQ,20,top,POS_ALT,>=1,22,0.025755134498412182,0.02081324804727832,0.7272727272727273,1.808601158007033
POST_2023_PLUS,KOSDAQ,20,top,MOM,>=1,22,0.0033314917319884037,-0.0042144280269866274,0.45454545454545453,0.1618828680460829
POST_2023_PLUS,KOSDAQ,20,top,POS_ALT_MINUS_MOM,>=1,22,0.02242364276642378,0.022770188515487066,0.6363636363636364,1.8552190483362552
POST_2023_PLUS,KOSDAQ,20,spread,POS_ALT,>=1,22,0.0028842230004407776,0.0031553144278914647,0.5454545454545454,0.3699685704855585
POST_2023_PLUS,KOSDAQ,20,spread,MOM,>=1,22,-0.008422782856041507,-0.011201560312090075,0.36363636363636365,-0.5921293889676673
POST_2023_PLUS,KOSDAQ,20,spread,POS_ALT_MINUS_MOM,>=1,22,0.011307005856482285,0.0019063027867094462,0.5454545454545454,0.6530666002326588
POST_2023_PLUS,KOSDAQ,5,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.017114984636112315,0.02125067010827285,0.7777777777777778,2.5726056784139826
POST_2023_PLUS,KOSDAQ,20,top,POS_ALT_MINUS_MOM_BY_N,2,9,0.042990718906736364,0.0399372440229222,0.7777777777777778,3.0853457399082482
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT,>=1,23,-0.00048032636385932125,-0.004849443243463,0.4782608695652174,-0.1118275708406041
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,MOM,>=1,23,-0.0062302014779327146,-0.0085932299972084,0.34782608695652173,-1.220588057904273
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM,>=1,23,0.00574987511407339,0.0088444573855349,0.6956521739130435,1.617830772726127
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,POS_ALT,>=1,23,0.0028195635172897316,0.004170966931106867,0.5217391304347826,0.666778344974199
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,MOM,>=1,23,-0.002019260472080507,-0.0008085881181042,0.4782608695652174,-0.4556520054804158
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,spread,POS_ALT_MINUS_MOM,>=1,23,0.004838823989370239,0.008334023627092266,0.6086956521739131,0.7532168376481375
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT,>=1,23,0.004220260506665604,0.0018827050366510556,0.5217391304347826,0.36981226994865873
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,MOM,>=1,23,-0.009504180699606197,-0.009777449877720668,0.4782608695652174,-0.5282382898584596
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM,>=1,23,0.013724441206271802,0.009799078094178904,0.6521739130434783,1.4977602631891744
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,POS_ALT,>=1,23,0.008532235589264218,0.0010766397384148196,0.5217391304347826,0.6607010108214354
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,MOM,>=1,23,-0.005027133086386109,-0.006869731883569874,0.34782608695652173,-0.4190946143311786
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,spread,POS_ALT_MINUS_MOM,>=1,23,0.013559368675650328,-0.005771504968724324,0.4782608695652174,0.9516242448962563
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,1,13,0.0019895160135411693,0.005612037457470298,0.6153846153846154,0.43411635486691436
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,1,13,0.008431820587064128,0.005970088995099432,0.6153846153846154,0.825735592650446
POST_2023_PLUS,KOSPI_ALL,5,top,POS_ALT,>=1,28,0.004548192139846698,0.00449207138776145,0.5357142857142857,0.8951910981510002
POST_2023_PLUS,KOSPI_ALL,5,top,MOM,>=1,28,-0.004481982402297939,-0.00034058150627600003,0.5,-0.903627833018509
POST_2023_PLUS,KOSPI_ALL,5,top,POS_ALT_MINUS_MOM,>=1,28,0.009030174542144637,0.005493668176331867,0.6785714285714286,2.273035014297039
POST_2023_PLUS,KOSPI_ALL,5,spread,POS_ALT,>=1,28,0.005613149293559843,0.00024607453751171693,0.5,1.0842950651976158
POST_2023_PLUS,KOSPI_ALL,5,spread,MOM,>=1,28,-0.004855491393632289,-0.00376662281425425,0.2857142857142857,-1.7358803614326948
POST_2023_PLUS,KOSPI_ALL,5,spread,POS_ALT_MINUS_MOM,>=1,28,0.010468640687192133,0.005547069621477266,0.6428571428571429,1.770708881677891
POST_2023_PLUS,KOSPI_ALL,20,top,POS_ALT,>=1,28,0.0007888872877089618,0.0019304949902713697,0.5,0.1437038005425388
POST_2023_PLUS,KOSPI_ALL,20,top,MOM,>=1,28,-0.01584383839642986,-0.004165781783071476,0.4642857142857143,-2.1085141062092125
POST_2023_PLUS,KOSPI_ALL,20,top,POS_ALT_MINUS_MOM,>=1,28,0.016632725684138823,0.011630234404422457,0.75,2.505926010131192
POST_2023_PLUS,KOSPI_ALL,20,spread,POS_ALT,>=1,28,0.003362726514056607,0.00352091765690532,0.5,0.38661169272967694
POST_2023_PLUS,KOSPI_ALL,20,spread,MOM,>=1,28,-0.003486034176645237,-0.0010625641111124406,0.5,-0.7591836505437257
